1977,,,,,,,,,1978,,,,,,,,,1979,,,,,,,,,1980,,,,,,,
record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt,,record_id,month,day,year,plot,species,sex,wgt
17,7,16,1977,3,DS,F,,,520,1,8,1978,3,PF,M,7,,1568,1,28,1979,10,,,,,2287,1,15,1980,21,OT,M,22
18,7,16,1977,2,PP,M,,,521,1,8,1978,2,DM,M,43,,1569,1,28,1979,19,,,,,2288,1,15,1980,19,RM,F,12
19,7,16,1977,4,PF,,,,522,1,8,1978,2,DM,F,35,,1570,1,28,1979,20,,,,,2289,1,15,1980,20,DS,F,150
20,7,17,1977,11,DS,F,,,523,1,8,1978,2,DM,M,43,,1571,1,28,1979,21,,,,,2290,1,15,1980,11,DM,M,49
21,7,17,1977,14,DM,F,,,524,1,8,1978,20,DM,,,,1572,1,28,1979,23,,,,,2291,1,15,1980,9,OL,F,34
22,7,17,1977,15,NA,F,,,525,1,8,1978,6,DM,M,36,,1573,1,29,1979,2,OL,F,31,,2292,1,15,1980,12,DM,F,40
23,7,17,1977,13,DM,M,,,526,1,8,1978,9,DS,F,117,,1574,1,29,1979,13,OL,M,39,,2293,1,15,1980,18,DS,F,132
24,7,17,1977,13,SH,M,,,527,1,8,1978,2,DM,F,37,,1575,1,29,1979,18,DM,F,45,,2294,1,15,1980,22,DM,F,25
25,7,17,1977,9,DM,M,,,528,1,8,1978,20,DS,M,122,,1576,1,29,1979,6,DM,M,43,,2295,1,15,1980,9,OL,M,36
26,7,17,1977,15,DM,M,,,529,1,8,1978,9,DM,M,43,,1577,1,29,1979,18,DM,M,42,,2296,1,15,1980,8,DO,F,50
27,7,17,1977,15,DM,M,,,530,1,8,1978,13,DM,M,42,,1578,1,29,1979,6,DM,M,49,,2297,1,15,1980,11,DM,M,45
28,7,17,1977,11,DM,M,,,531,1,8,1978,20,NA,,,,1579,1,29,1979,4,DM,F,44,,2298,1,15,1980,17,DM,M,47
29,7,17,1977,11,PP,M,,,532,1,8,1978,2,PF,F,7,,1580,1,29,1979,18,DM,M,47,,2299,1,15,1980,9,DM,M,46
30,7,17,1977,10,DS,F,,,533,1,8,1978,2,DM,M,45,,1581,1,29,1979,2,DM,F,42,,2300,1,15,1980,18,DM,F,29
31,7,17,1977,15,DM,F,,,534,1,8,1978,2,OT,,,,1582,1,29,1979,6,DS,F,125,,2301,1,15,1980,9,DS,F,136
32,7,17,1977,10,DM,F,,,535,1,8,1978,7,,,,,1583,1,29,1979,18,DM,F,38,,2302,1,15,1980,12,DM,M,45
33,7,17,1977,11,DM,F,,,536,1,8,1978,22,,,,,1584,1,29,1979,2,OT,M,30,,2303,1,15,1980,19,RM,F,9
34,7,17,1977,17,DM,,,,537,1,9,1978,14,OT,,,,1585,1,29,1979,3,OT,F,27,,2304,1,15,1980,20,OL,F,27
35,7,17,1977,13,DM,F,,,538,1,9,1978,17,DM,M,40,,1586,1,29,1979,16,DM,M,45,,2305,1,15,1980,12,NA,F,214
36,7,17,1977,16,OT,F,,,539,1,9,1978,17,DM,F,37,,1587,1,29,1979,18,DM,M,49,,2306,1,15,1980,17,OT,M,20
37,7,17,1977,11,DM,F,,,540,1,9,1978,17,DS,F,117,,1588,1,29,1979,18,DS,M,137,,2307,1,15,1980,17,OT,F,25
38,7,17,1977,17,NA,M,,,541,1,9,1978,11,DM,M,40,,1589,1,29,1979,4,DS,M,126,,2308,1,15,1980,8,DM,M,40
39,7,17,1977,11,DM,F,,,542,1,9,1978,1,DM,M,40,,1590,1,29,1979,6,DM,M,50,,2309,1,15,1980,10,OL,F,30
40,7,18,1977,20,DM,M,,,543,1,9,1978,4,DS,M,132,,1591,1,29,1979,6,DM,F,41,,2310,1,15,1980,11,DM,M,48
41,7,18,1977,23,DM,F,,,544,1,9,1978,14,OL,,,,1592,1,29,1979,18,DS,F,153,,2311,1,15,1980,12,NA,F,114
42,7,18,1977,18,DS,F,,,545,1,9,1978,1,DM,F,36,,1593,1,29,1979,16,DM,F,42,,2312,1,15,1980,12,DS,M,131
43,7,18,1977,21,DM,M,,,546,1,9,1978,11,NA,,,,1594,1,29,1979,2,OT,M,26,,2313,1,15,1980,21,PF,M,8
44,7,18,1977,18,DM,F,,,547,1,9,1978,8,OT,,,,1595,1,29,1979,4,DM,F,42,,2314,1,15,1980,17,OL,F,32
45,7,18,1977,22,DM,M,,,548,1,9,1978,8,DS,M,150,,1596,1,29,1979,6,DM,F,41,,2315,1,15,1980,17,RM,F,9
46,7,18,1977,19,DM,M,,,549,1,9,1978,11,DM,M,44,,1597,1,29,1979,2,OL,F,39,,2316,1,15,1980,19,RM,M,9
47,7,18,1977,18,DM,M,,,550,1,9,1978,14,DM,F,40,,1598,1,29,1979,6,OL,F,32,,2317,1,15,1980,18,DO,F,51
48,7,18,1977,20,DM,F,,,551,1,9,1978,4,DS,F,126,,1599,1,29,1979,18,DM,M,44,,2318,1,15,1980,19,PE,F,17
49,7,18,1977,12,PP,F,,,552,1,9,1978,11,DS,F,122,,1600,1,29,1979,4,DM,M,44,,2319,1,15,1980,11,DM,M,26
50,7,18,1977,18,DM,F,,,553,1,9,1978,8,DS,F,136,,1601,1,29,1979,14,DS,F,142,,2320,1,15,1980,18,DO,M,32
51,7,18,1977,21,DM,F,,,554,1,9,1978,14,NA,,,,1602,1,29,1979,18,DM,F,41,,2321,1,15,1980,20,OT,M,25
52,7,18,1977,12,DM,F,,,555,1,9,1978,14,DS,F,116,,1603,1,29,1979,2,PE,M,26,,2322,1,15,1980,9,DS,F,114
53,7,18,1977,22,DM,M,,,556,1,9,1978,17,DM,F,38,,1604,1,29,1979,14,DM,F,48,,2323,1,15,1980,17,OL,M,31
54,7,18,1977,18,DM,M,,,557,1,9,1978,11,DM,F,39,,1605,1,29,1979,16,OT,,,,2324,1,15,1980,11,DM,M,49
55,7,18,1977,23,DM,M,,,558,1,9,1978,1,DS,F,135,,1606,1,29,1979,6,DM,F,37,,2325,1,15,1980,17,DO,M,50
56,7,18,1977,20,DM,M,,,559,1,9,1978,14,DM,M,46,,1607,1,29,1979,16,OT,,,,2326,1,15,1980,22,DS,M,142
57,7,18,1977,22,DM,,,,560,1,9,1978,17,DS,M,133,,1608,1,29,1979,6,DM,F,45,,2327,1,15,1980,10,RM,M,10
58,7,18,1977,12,DS,M,,,561,1,9,1978,11,DS,M,136,,1609,1,29,1979,18,DM,M,,,2328,1,15,1980,21,PF,F,9
59,7,18,1977,19,DM,M,,,562,1,9,1978,19,,,,,1610,1,29,1979,6,DM,M,52,,2329,1,15,1980,17,NA,M,187
60,7,18,1977,19,PE,M,,,563,1,9,1978,23,,,,,1611,1,29,1979,2,DM,F,43,,2330,1,15,1980,7,,,
61,7,18,1977,23,DM,M,,,564,1,10,1978,18,DS,F,141,,1612,1,29,1979,13,DM,F,40,,2331,1,15,1980,23,,,
62,7,18,1977,19,DM,M,,,565,1,10,1978,12,NA,,,,1613,1,29,1979,18,DM,M,48,,2332,1,16,1980,1,DO,M,50
63,8,19,1977,3,DM,M,40,,566,1,10,1978,18,DM,F,38,,1614,1,29,1979,5,,,,,2333,1,16,1980,1,DM,F,52
64,8,19,1977,7,DM,M,48,,567,1,10,1978,12,DM,F,35,,1615,1,29,1979,7,,,,,2334,1,16,1980,1,DM,M,44
65,8,19,1977,4,DM,F,29,,568,1,10,1978,21,OT,,,,1616,1,29,1979,15,,,,,2335,1,16,1980,1,DM,F,43
66,8,19,1977,4,DM,F,46,,569,1,10,1978,5,DS,M,135,,1617,2,24,1979,22,OL,F,40,,2336,1,16,1980,1,DM,M,42
67,8,19,1977,7,DM,M,36,,570,1,10,1978,5,OT,,,,1618,2,24,1979,9,OL,M,37,,2337,1,16,1980,1,OT,M,23
68,8,19,1977,8,DO,F,52,,571,1,10,1978,18,DM,F,33,,1619,2,24,1979,22,DM,M,50,,2338,1,16,1980,2,DM,F,46
69,8,19,1977,2,PF,M,8,,572,1,10,1978,18,DM,M,51,,1620,2,24,1979,22,DM,M,47,,2339,1,16,1980,2,DM,F,37
70,8,19,1977,3,OX,F,22,,573,1,10,1978,5,DS,F,122,,1621,2,24,1979,22,DM,F,44,,2340,1,16,1980,2,DM,F,42
71,8,19,1977,7,DM,F,35,,574,1,10,1978,18,DM,F,33,,1622,2,24,1979,8,OL,F,32,,2341,1,16,1980,3,DM,F,44
72,8,19,1977,2,NA,M,,,575,1,10,1978,18,DM,M,47,,1623,2,24,1979,9,DO,F,61,,2342,1,16,1980,4,DS,F,113
73,8,19,1977,3,DS,F,,,576,1,10,1978,18,DM,M,49,,1624,2,24,1979,11,DM,M,48,,2343,1,16,1980,5,DM,M,48
74,8,19,1977,8,PF,M,7,,577,1,10,1978,21,OT,,,,1625,2,24,1979,12,DS,F,123,,2344,1,16,1980,5,DM,F,39
75,8,19,1977,8,DM,F,22,,578,1,10,1978,18,DM,M,46,,1626,2,24,1979,11,OL,M,36,,2345,1,16,1980,5,OT,M,21
76,8,19,1977,9,DS,F,,,579,1,10,1978,5,DM,F,45,,1627,2,24,1979,8,DS,M,109,,2346,1,16,1980,5,NA,M,239
77,8,19,1977,4,SS,,,,580,1,10,1978,12,DM,M,41,,1628,2,24,1979,22,DM,M,46,,2347,1,16,1980,6,DM,M,42
78,8,19,1977,1,PF,M,9,,581,1,10,1978,10,,,,,1629,2,24,1979,11,DM,M,44,,2348,1,16,1980,6,OT,F,20
79,8,19,1977,7,DM,F,42,,582,1,10,1978,15,,,,,1630,2,24,1979,8,DS,F,,,2349,1,16,1980,6,DM,F,46
80,8,19,1977,1,DS,M,,,583,1,10,1978,16,,,,,1631,2,24,1979,22,DS,F,127,,2350,1,16,1980,6,NA,M,241
81,8,19,1977,4,PF,F,8,,584,2,18,1978,3,OT,M,24,,1632,2,24,1979,17,DO,F,48,,2351,1,16,1980,13,OT,F,21
82,8,19,1977,4,DM,F,41,,585,2,18,1978,2,DS,M,157,,1633,2,24,1979,17,DS,F,125,,2352,1,16,1980,13,DM,M,43
83,8,20,1977,6,DM,F,37,,586,2,18,1978,13,DM,M,51,,1634,2,24,1979,8,DM,M,42,,2353,1,16,1980,14,DM,M,48
84,8,20,1977,19,DM,F,43,,587,2,18,1978,2,OX,,,,1635,2,24,1979,22,DM,M,45,,2354,1,16,1980,14,DM,M,47
85,8,20,1977,23,DM,F,41,,588,2,18,1978,2,NA,M,218,,1636,2,24,1979,12,DM,M,47,,2355,1,16,1980,14,DM,M,
86,8,20,1977,18,DM,F,40,,589,2,18,1978,20,DM,F,38,,1637,2,24,1979,9,DS,F,124,,2356,1,16,1980,15,DM,F,39
87,8,20,1977,5,PF,F,9,,590,2,18,1978,2,PF,F,7,,1638,2,24,1979,20,DS,F,131,,2357,1,16,1980,15,DM,M,36
88,8,20,1977,18,DM,F,45,,591,2,18,1978,6,DM,F,,,1639,2,24,1979,7,,,,,2358,1,16,1980,15,DM,F,39
89,8,20,1977,12,PP,F,15,,592,2,18,1978,22,DM,M,45,,1640,2,24,1979,10,,,,,2359,1,16,1980,16,DM,M,49
90,8,20,1977,18,DM,M,29,,593,2,18,1978,2,DM,M,52,,1641,2,24,1979,19,,,,,2360,1,16,1980,16,DM,M,45
91,8,20,1977,11,DS,F,,,594,2,18,1978,9,DM,M,50,,1642,2,24,1979,21,,,,,2361,1,16,1980,16,DM,F,40
92,8,20,1977,6,DM,M,39,,595,2,18,1978,2,DM,M,51,,1643,2,24,1979,23,,,,,2362,1,16,1980,17,NA,M,168
93,8,20,1977,18,DM,,42,,596,2,18,1978,9,DS,F,126,,1644,2,25,1979,2,DM,F,44,,2363,1,16,1980,17,DO,M,32
94,8,20,1977,18,DM,F,43,,597,2,18,1978,20,DM,F,39,,1645,2,25,1979,3,OT,M,26,,2364,1,16,1980,18,DM,F,
95,8,20,1977,23,DM,M,46,,598,2,18,1978,2,OT,F,24,,1646,2,25,1979,2,OL,F,30,,2365,1,16,1980,18,DO,M,29
96,8,20,1977,12,DM,M,41,,599,2,18,1978,3,OT,F,23,,1647,2,25,1979,5,DS,M,142,,2366,1,16,1980,23,DM,F,44
97,8,20,1977,18,DM,M,41,,600,2,18,1978,2,DM,F,40,,1648,2,25,1979,14,DM,F,43,,2367,1,16,1980,23,DM,M,51
98,8,20,1977,5,DM,M,40,,601,2,18,1978,2,DM,M,41,,1649,2,25,1979,18,DS,M,139,,2368,1,16,1980,24,DM,F,46
99,8,20,1977,11,DM,M,45,,602,2,18,1978,13,DM,M,46,,1650,2,25,1979,3,OT,F,30,,2369,1,16,1980,24,OT,M,22
100,8,20,1977,5,DS,F,,,603,2,18,1978,2,OT,M,25,,1651,2,25,1979,1,DM,M,43,,2370,1,16,1980,24,DO,F,43
101,8,20,1977,5,DM,F,46,,604,2,18,1978,2,PE,M,25,,1652,2,25,1979,18,DS,F,132,,2371,1,16,1980,24,OL,F,26
102,8,20,1977,23,DM,F,40,,605,2,18,1978,19,,,,,1653,2,25,1979,2,PM,F,26,,2372,1,16,1980,2,DM,F,37
103,8,20,1977,18,DM,F,30,,606,2,18,1978,23,,,,,1654,2,25,1979,1,DM,M,48,,2373,1,16,1980,3,OL,M,36
104,8,20,1977,11,DS,M,,,607,2,19,1978,5,DM,F,39,,1655,2,25,1979,6,DS,F,119,,2374,1,16,1980,16,OT,M,20
105,8,20,1977,19,DM,M,39,,608,2,19,1978,17,DM,F,42,,1656,2,25,1979,1,DS,M,137,,2375,1,16,1980,2,OL,M,36
106,8,20,1977,12,NA,,,,609,2,19,1978,4,DS,F,,,1657,2,25,1979,15,PM,F,24,,2376,1,16,1980,5,DM,M,45
107,8,20,1977,18,NA,,,,610,2,19,1978,17,DM,M,39,,1658,2,25,1979,4,DS,M,130,,2377,1,16,1980,24,DM,M,40
108,8,20,1977,11,PP,M,,,611,2,19,1978,21,OT,F,23,,1659,2,25,1979,13,DS,M,60,,2378,1,16,1980,13,DM,F,37
109,8,20,1977,6,DM,M,34,,612,2,19,1978,4,DS,,,,1660,2,25,1979,14,DS,F,127,,2379,1,16,1980,15,RM,F,10
110,8,20,1977,10,DS,,,,613,2,19,1978,5,DS,M,,,1661,2,25,1979,2,DM,F,44,,2380,1,16,1980,15,PF,M,7
111,8,20,1977,11,DM,F,42,,614,2,19,1978,4,DS,F,124,,1662,2,25,1979,16,OL,F,35,,2381,1,16,1980,24,DS,F,120
112,8,20,1977,23,DM,M,42,,615,2,19,1978,5,DS,F,114,,1663,2,25,1979,4,DM,M,46,,2382,1,16,1980,4,DS,M,131
113,8,20,1977,5,PF,F,8,,616,2,19,1978,11,DM,M,44,,1664,2,25,1979,16,OL,M,34,,2383,1,16,1980,2,OL,F,38
114,8,21,1977,15,DM,F,,,617,2,19,1978,11,DM,M,48,,1665,2,25,1979,4,DM,F,39,,2384,1,16,1980,2,DO,F,53
115,8,21,1977,21,DM,M,,,618,2,19,1978,14,DS,F,,,1666,2,25,1979,14,DM,M,40,,2385,1,16,1980,14,DM,F,49
116,8,21,1977,13,DM,F,31,,619,2,19,1978,14,DM,F,44,,1667,2,25,1979,16,DM,M,44,,2386,1,16,1980,14,DS,F,68
117,8,21,1977,21,OX,F,,,620,2,19,1978,8,DS,F,132,,1668,2,25,1979,13,DM,F,43,,2387,1,16,1980,14,OL,,
118,8,21,1977,17,DM,M,,,621,2,19,1978,4,PF,,,,1669,2,25,1979,13,OL,F,39,,2388,1,16,1980,4,DM,M,51
119,8,21,1977,20,DM,M,,,622,2,19,1978,17,DS,F,137,,1670,2,25,1979,2,PM,M,26,,2389,1,16,1980,1,DM,F,43
120,8,21,1977,20,DM,M,,,623,2,19,1978,21,OT,,,,1671,3,31,1979,12,DS,M,86,,2390,1,16,1980,1,DM,F,38
121,8,21,1977,15,NA,,,,624,2,19,1978,4,DM,M,39,,1672,3,31,1979,4,DM,F,23,,2391,1,16,1980,2,OL,F,34
122,8,21,1977,22,DM,F,,,625,2,19,1978,5,DM,F,56,,1673,3,31,1979,2,DS,F,82,,2392,1,16,1980,2,OT,F,20
123,8,21,1977,17,DM,M,,,626,2,19,1978,17,OL,F,35,,1674,3,31,1979,13,DM,F,37,,2393,1,16,1980,3,PF,F,7
124,8,21,1977,14,DM,M,,,627,2,19,1978,17,DM,,,,1675,3,31,1979,17,PE,M,23,,2394,1,16,1980,4,DM,F,40
125,8,21,1977,22,DM,M,,,628,2,19,1978,11,DM,,,,1676,3,31,1979,2,DM,M,54,,2395,1,16,1980,14,NA,F,120
126,8,21,1977,20,DM,F,,,629,2,19,1978,14,NA,,197,,1677,3,31,1979,12,DM,M,53,,2396,1,16,1980,4,DS,F,141
127,8,21,1977,14,DM,M,,,630,2,19,1978,5,OT,F,22,,1678,3,31,1979,14,DS,F,132,,2397,1,16,1980,5,DM,F,40
128,8,21,1977,15,DM,M,,,631,2,19,1978,5,OT,M,25,,1679,3,31,1979,22,DM,M,50,,2398,1,16,1980,6,DM,M,40
129,8,21,1977,14,DM,F,,,632,2,19,1978,7,,,,,1680,3,31,1979,14,DS,F,71,,2399,1,16,1980,5,DM,M,44
130,8,21,1977,16,DM,F,,,633,2,19,1978,8,DS,M,154,,1681,3,31,1979,5,DS,M,142,,2400,1,16,1980,2,DM,F,42
131,8,21,1977,22,DM,M,,,634,2,19,1978,10,,,,,1682,3,31,1979,17,DM,F,46,,2401,1,16,1980,14,DM,M,37
132,8,21,1977,22,DM,F,,,635,2,20,1978,15,DM,M,49,,1683,3,31,1979,17,DS,M,71,,2402,1,16,1980,4,DM,F,36
133,8,21,1977,15,DM,M,,,636,2,20,1978,18,DM,F,44,,1684,3,31,1979,12,DS,F,125,,2403,1,16,1980,24,DM,M,54
134,8,21,1977,17,DS,F,,,637,2,20,1978,18,DM,F,35,,1685,3,31,1979,14,DS,F,73,,2404,1,16,1980,4,PF,F,7
135,8,21,1977,15,DM,F,,,638,2,20,1978,12,DM,F,36,,1686,3,31,1979,13,PF,F,7,,2405,1,16,1980,15,PF,F,7
136,8,21,1977,13,PF,F,,,639,2,20,1978,1,DM,F,39,,1687,3,31,1979,18,DO,F,29,,2406,1,16,1980,2,NA,F,184
137,8,21,1977,20,DM,F,,,640,2,20,1978,12,DS,F,133,,1688,3,31,1979,22,PF,F,7,,2407,1,16,1980,15,OT,F,22
138,8,21,1977,22,DM,M,,,641,2,20,1978,15,DM,M,50,,1689,3,31,1979,18,DS,M,141,,2408,1,16,1980,4,DM,F,48
139,8,21,1977,14,PF,M,,,642,2,20,1978,1,DM,M,43,,1690,3,31,1979,18,DS,M,78,,2409,1,16,1980,5,DM,F,61
140,8,21,1977,20,DM,M,,,643,2,20,1978,15,DM,F,40,,1691,3,31,1979,4,DM,F,49,,2410,2,24,1980,17,DO,F,54
141,8,21,1977,16,DM,M,,,644,2,20,1978,18,DM,M,45,,1692,3,31,1979,2,DM,M,45,,2411,2,24,1980,18,DM,F,41
142,8,21,1977,17,DM,F,,,645,2,20,1978,12,DM,M,44,,1693,3,31,1979,22,DS,F,144,,2412,2,24,1980,18,OT,M,25
143,8,21,1977,15,DM,M,,,646,2,20,1978,18,NA,M,228,,1694,3,31,1979,8,DS,F,123,,2413,2,24,1980,18,OT,F,27
144,8,21,1977,15,DS,M,,,647,2,20,1978,1,DS,F,144,,1695,3,31,1979,1,DS,M,141,,2414,2,24,1980,11,PF,F,7
145,8,21,1977,13,DM,F,,,648,2,20,1978,16,DM,F,46,,1696,3,31,1979,9,DS,F,115,,2415,2,24,1980,12,DM,M,50
146,8,21,1977,13,DM,F,40,,649,2,20,1978,16,DM,M,48,,1697,3,31,1979,1,DS,M,140,,2416,2,24,1980,22,DS,M,142
147,8,21,1977,13,DM,M,,,650,3,11,1978,2,PF,F,7,,1698,3,31,1979,18,DS,M,127,,2417,2,24,1980,17,DM,M,47
148,8,21,1977,14,DM,M,,,651,3,11,1978,20,DM,M,45,,1699,3,31,1979,5,DM,M,54,,2418,2,24,1980,8,OL,F,35
149,8,21,1977,20,DS,M,,,652,3,11,1978,2,PF,M,8,,1700,3,31,1979,17,DO,F,49,,2419,2,24,1980,19,RM,M,10
150,8,21,1977,21,DM,M,,,653,3,11,1978,22,DS,F,133,,1701,3,31,1979,2,DM,F,46,,2420,2,24,1980,20,RM,F,12
151,8,21,1977,13,DM,M,,,654,3,11,1978,22,DM,F,40,,1702,3,31,1979,6,DM,M,53,,2421,2,24,1980,8,OL,M,39
152,8,21,1977,14,DM,M,,,655,3,11,1978,3,NA,M,232,,1703,3,31,1979,17,DS,F,129,,2422,2,24,1980,9,DO,F,50
153,8,21,1977,16,DS,F,,,656,3,11,1978,9,DS,F,128,,1704,3,31,1979,9,DS,F,112,,2423,2,24,1980,12,DS,M,
154,8,21,1977,20,DS,F,,,657,3,11,1978,2,DS,M,153,,1705,3,31,1979,9,DS,F,71,,2424,2,24,1980,17,DS,M,128
155,8,21,1977,20,DS,,,,658,3,11,1978,3,OT,F,22,,1706,3,31,1979,17,DO,F,50,,2425,2,24,1980,11,RM,F,16
156,8,21,1977,21,DM,M,,,659,3,11,1978,20,OT,F,21,,1707,3,31,1979,18,DO,M,54,,2426,2,24,1980,21,OT,F,25
157,9,11,1977,20,DM,M,37,,660,3,11,1978,2,DM,M,53,,1708,3,31,1979,13,DS,F,58,,2427,2,24,1980,11,OL,F,32
158,9,11,1977,22,DM,M,48,,661,3,11,1978,2,NA,,,,1709,3,31,1979,9,DM,M,55,,2428,2,24,1980,8,DO,F,47
159,9,11,1977,5,DS,M,,,662,3,11,1978,13,PF,F,8,,1710,3,31,1979,11,DS,M,,,2429,2,24,1980,8,DM,M,43
160,9,11,1977,21,DM,M,,,663,3,11,1978,2,OT,M,25,,1711,3,31,1979,9,DM,M,31,,2430,2,24,1980,18,DO,M,44
161,9,11,1977,5,DM,M,42,,664,3,11,1978,2,DM,M,43,,1712,3,31,1979,11,DM,M,46,,2431,2,24,1980,8,DS,M,133
162,9,11,1977,6,DM,F,45,,665,3,11,1978,20,DM,F,43,,1713,3,31,1979,13,DS,F,112,,2432,2,24,1980,21,RM,F,8
163,9,11,1977,12,PP,F,16,,666,3,11,1978,13,OL,M,38,,1714,3,31,1979,4,DS,M,129,,2433,2,24,1980,12,DM,F,40
164,9,11,1977,22,DM,F,36,,667,3,11,1978,20,DM,F,42,,1715,3,31,1979,8,DM,M,45,,2434,2,24,1980,12,DM,M,47
165,9,11,1977,19,DS,F,,,668,3,11,1978,3,OT,M,26,,1716,3,31,1979,3,,,,,2435,2,24,1980,19,PE,M,21
166,9,11,1977,21,OX,M,,,669,3,11,1978,9,DS,F,146,,1717,3,31,1979,7,,,,,2436,2,24,1980,12,DM,F,42
167,9,11,1977,6,DM,M,42,,670,3,11,1978,2,OT,F,25,,1718,3,31,1979,10,,,,,2437,2,24,1980,17,DO,M,
168,9,11,1977,12,DM,M,44,,671,3,11,1978,2,PE,M,28,,1719,3,31,1979,15,,,,,2438,2,24,1980,21,PF,M,9
169,9,11,1977,5,DM,M,,,672,3,11,1978,3,PF,M,8,,1720,3,31,1979,16,,,,,2439,2,24,1980,23,PE,F,19
170,9,11,1977,20,DM,F,41,,673,3,11,1978,2,PE,F,29,,1721,3,31,1979,19,,,,,2440,2,24,1980,9,DS,F,103
171,9,11,1977,12,NA,,,,674,3,11,1978,20,DS,M,122,,1722,3,31,1979,20,,,,,2441,2,24,1980,17,OL,F,37
172,9,11,1977,22,PF,F,8,,675,3,11,1978,6,,,,,1723,3,31,1979,21,,,,,2442,2,24,1980,10,RM,M,10
173,9,11,1977,12,DM,F,40,,676,3,11,1978,23,,,,,1724,3,31,1979,23,,,,,2443,2,24,1980,17,OL,M,35
174,9,11,1977,12,DM,M,34,,677,3,12,1978,5,DS,M,137,,1725,4,28,1979,11,DM,M,47,,2444,2,24,1980,9,DM,M,
175,9,11,1977,19,DM,M,40,,678,3,12,1978,4,DS,M,131,,1726,4,28,1979,12,DS,M,73,,2445,2,24,1980,11,DM,F,36
176,9,11,1977,12,DS,M,,,679,3,12,1978,5,DS,F,125,,1727,4,28,1979,12,DS,F,75,,2446,2,24,1980,17,DO,F,52
177,9,11,1977,5,OX,F,20,,680,3,12,1978,17,DM,M,,,1728,4,28,1979,12,DS,F,140,,2447,2,24,1980,9,DO,F,46
178,9,11,1977,18,DM,M,44,,681,3,12,1978,14,DS,F,,,1729,4,28,1979,12,NA,F,86,,2448,2,24,1980,9,OL,M,35
179,9,11,1977,12,DM,M,44,,682,3,12,1978,21,OT,,,,1730,4,28,1979,1,DM,F,50,,2449,2,24,1980,12,DM,F,23
180,9,11,1977,6,DM,M,36,,683,3,12,1978,21,PF,F,,,1731,4,28,1979,12,NA,F,239,,2450,2,24,1980,12,DM,F,24
181,9,11,1977,20,DM,M,33,,684,3,12,1978,4,DM,M,43,,1732,4,28,1979,22,DS,F,127,,2451,2,24,1980,7,,,
182,9,11,1977,21,DS,M,,,685,3,12,1978,17,DS,F,,,1733,4,28,1979,1,DS,M,144,,2452,2,25,1980,1,DM,F,40
183,9,11,1977,5,DM,F,46,,686,3,12,1978,4,PF,,,,1734,4,28,1979,11,DM,F,46,,2453,2,25,1980,1,DM,M,51
